professionName,strategyName,mean,std,count_nonzero
Doctor,"ZeroBDT, 0.0PRT, 0.8ROIT",42.41030927835052,13.947886824170629,970
Nurse,"ZeroBDT, 0.3PRT, 0.2ROIT",42.4921968787515,18.252574873668774,833
Nurse,"ZeroBDT, -0.3PRT, 0.2ROIT",42.50180072028812,18.162006230348062,833
Nurse,"ZeroBDT, -1.0PRT, 0.2ROIT",42.50180072028812,18.162006230348062,833
Nurse,"ZeroBDT, 0.0PRT, 0.2ROIT",42.51980792316927,18.24749466369352,833
Doctor,"ZeroBDT, -0.3PRT, 0.5ROIT",42.53096446700508,14.744066795648651,985
Airline Pilot,"ZeroBDT, -1.0PRT, 0.5ROIT",42.5703933747412,18.805707248866497,966
Nurse,"ZeroBDT, 0.6PRT, 0.4ROIT",42.58055925432756,18.309228134654333,751
Police Officer,"ZeroBDT, 0.3PRT, 0.5ROIT",42.670480549199084,18.208512868748347,874
Nurse,"ZeroBDT, 0.6PRT, 0.2ROIT",42.79483695652174,19.112841442354704,736
Doctor,"ZeroBDT, -1.0PRT, 0.5ROIT",42.84701114488349,14.71472812580327,987
Police Officer,"ZeroBDT, -1.0PRT, 0.4ROIT",43.154017857142854,18.572543726878965,896
Lawyer,"ZeroBDT, 0.0PRT, 0.8ROIT",43.192266380236305,17.78009592478502,931
Police Officer,"ZeroBDT, -0.3PRT, 0.4ROIT",43.19910514541387,18.673734309497924,894
Lawyer,"ZeroBDT, 0.6PRT, 0.0ROIT",43.39557399723375,17.713042983652134,723
Nurse,"ZeroBDT, 0.6PRT, 0.8ROIT",43.44638069705094,18.660238574615995,746
Nurse,"ZeroBDT, 0.6PRT, 0.5ROIT",43.44638069705094,18.660238574615995,746
Business Manager,"ZeroBDT, 0.0PRT, 0.8ROIT",43.46744930629669,18.545429817022885,937
Nurse,"ZeroBDT, 0.3PRT, 0.5ROIT",44.11058823529412,18.378548100376033,850
Police Officer,"ZeroBDT, 0.3PRT, 0.8ROIT",44.3398392652124,18.55985680364575,871
Engineer,"ZeroBDT, 0.0PRT, 0.8ROIT",44.502702702702706,18.355120168782225,925
Nurse,"ZeroBDT, -1.0PRT, 0.4ROIT",44.97374429223744,19.02558866725763,876
Nurse,"ZeroBDT, -0.3PRT, 0.4ROIT",45.00114547537228,19.002202879737702,873
Teacher (K-12),"ZeroBDT, 0.3PRT, 0.4ROIT",45.345238095238095,19.50892589187232,840
Teacher (K-12),"ZeroBDT, -0.3PRT, 0.2ROIT",45.458837772397096,18.605476563709445,826
Teacher (K-12),"ZeroBDT, -1.0PRT, 0.2ROIT",45.458837772397096,18.605476563709445,826
Teacher (K-12),"ZeroBDT, 0.3PRT, 0.2ROIT",45.48907766990291,18.687748883212986,824
Teacher (K-12),"ZeroBDT, 0.0PRT, 0.2ROIT",45.50121359223301,18.67942769951851,824
Teacher (K-12),"ZeroBDT, 0.0PRT, 0.4ROIT",45.54685646500593,19.749767705709658,843
Teacher (K-12),"ZeroBDT, 0.6PRT, 0.2ROIT",45.601115760111576,19.363687690829376,717
Truck Driver,"ZeroBDT, 0.3PRT, 0.4ROIT",46.19130434782609,19.415159843644652,805
Secretary,"ZeroBDT, 0.3PRT, 0.4ROIT",46.19183168316832,19.68686923897755,808
Teacher (K-12),"ZeroBDT, 0.6PRT, 0.4ROIT",46.22237380627558,21.035318760146048,733
Truck Driver,"ZeroBDT, 0.6PRT, 0.4ROIT",46.28730822873082,19.894232007936086,717
Secretary,"ZeroBDT, 0.6PRT, 0.4ROIT",46.30013831258645,20.466710691223422,723
Secretary,"ZeroBDT, 0.0PRT, 0.4ROIT",46.44814814814815,19.80717685360637,810
Truck Driver,"ZeroBDT, 0.0PRT, 0.4ROIT",46.506815365551425,19.522199379927436,807
Police Officer,"ZeroBDT, 0.0PRT, 0.5ROIT",46.511811023622045,18.892599663739713,889
Truck Driver,"ZeroBDT, -1.0PRT, 0.2ROIT",46.581542351453855,19.41383072556587,791
Truck Driver,"ZeroBDT, -0.3PRT, 0.2ROIT",46.581542351453855,19.41383072556587,791
Truck Driver,"ZeroBDT, 0.6PRT, 0.2ROIT",46.59424460431654,19.938723745010662,695
Truck Driver,"ZeroBDT, 0.0PRT, 0.2ROIT",46.61518987341772,19.51772837225374,790
Truck Driver,"ZeroBDT, 0.3PRT, 0.2ROIT",46.6253164556962,19.529675631064855,790
Secretary,"ZeroBDT, 0.0PRT, 0.2ROIT",46.65184243964422,20.04468941074189,787
Secretary,"ZeroBDT, -0.3PRT, 0.2ROIT",46.663291139240506,19.980105296497072,790
Secretary,"ZeroBDT, -1.0PRT, 0.2ROIT",46.663291139240506,19.980105296497072,790
Secretary,"ZeroBDT, 0.3PRT, 0.2ROIT",46.66836086404066,20.05090348378153,787
Secretary,"ZeroBDT, 0.6PRT, 0.2ROIT",46.76361031518625,20.877451941567525,698
Teacher (K-12),"ZeroBDT, 0.6PRT, 0.8ROIT",46.81137309292649,21.195071057672237,721
Teacher (K-12),"ZeroBDT, 0.6PRT, 0.5ROIT",46.81137309292649,21.195071057672237,721
Truck Driver,"ZeroBDT, 0.6PRT, 0.8ROIT",46.857541899441344,20.236969191585462,716
Truck Driver,"ZeroBDT, 0.6PRT, 0.5ROIT",46.857541899441344,20.236969191585462,716
Nurse,"ZeroBDT, 0.3PRT, 0.8ROIT",46.97186400937866,20.218330731732756,853
Secretary,"ZeroBDT, 0.6PRT, 0.8ROIT",47.109418282548475,21.10965873795315,722
Secretary,"ZeroBDT, 0.6PRT, 0.5ROIT",47.109418282548475,21.10965873795315,722
Secretary,"ZeroBDT, 0.3PRT, 0.5ROIT",47.506765067650676,20.09402813008801,813
Truck Driver,"ZeroBDT, 0.3PRT, 0.5ROIT",47.55911330049261,19.996983821937167,812
Teacher (K-12),"ZeroBDT, 0.3PRT, 0.5ROIT",47.584028605482715,20.632649763346855,839
Teacher (K-12),"ZeroBDT, -1.0PRT, 0.4ROIT",47.7823596792669,21.297226214357778,873
Teacher (K-12),"ZeroBDT, -0.3PRT, 0.4ROIT",47.83848797250859,21.088830982455235,873
Lawyer,"ZeroBDT, -0.3PRT, 0.5ROIT",48.62326574172892,24.24373240017009,937
Nurse,"ZeroBDT, 0.0PRT, 0.5ROIT",49.18181818181818,20.22138307427949,880
Police Officer,"ZeroBDT, -1.0PRT, 0.0ROIT",49.61171662125341,18.39205962029475,734
Police Officer,"ZeroBDT, -0.3PRT, 0.0ROIT",49.61171662125341,18.39205962029475,734
Teacher (K-12),"ZeroBDT, 0.3PRT, 0.8ROIT",49.71599045346062,22.425195063355368,838
Police Officer,"ZeroBDT, 0.3PRT, 0.0ROIT",49.83967391304348,18.68795244793403,736
Police Officer,"ZeroBDT, 0.0PRT, 0.0ROIT",49.83967391304348,18.68795244793403,736
Lawyer,"ZeroBDT, -1.0PRT, 0.5ROIT",50.44895833333333,25.010727603653685,960
Airline Pilot,"ZeroBDT, -0.3PRT, 0.8ROIT",50.46823770491803,23.357489665099564,976
Secretary,"ZeroBDT, -1.0PRT, 0.4ROIT",50.47552447552447,22.739865887901594,858
