Turn,Player Name,Profession,Strategy,Salary,Passive Income,Taxes,Other Expenses,Total Expenses,Child Cost,Savings,Loans,Sold Assets,No. Children,Cashflow,Stock Assets,Real Estate Assets,Business Assets,No. Dice,Die Roll,Board Space No. Before,Board Space No. After,Passed Paycheck,Board Space After
78,Paulcool,Engineer,Standard Auto,4900,890,1050,1090,4260,250,1180,9,0,1,1530,5,4,0,1,Use Layoff
79,Paulcool,Engineer,Standard Auto,4900,890,1050,1090,4260,250,1180,9,0,1,1530,5,4,0,1,4,19,0,True,Opportunity
80,Paulcool,Engineer,Standard Auto,4900,890,1050,1090,4260,250,0,9,0,1,1530,6,4,0,1,2,0,2,False,Opportunity
81,Paulcool,Engineer,Standard Auto,4900,890,1050,1090,4260,250,0,9,0,1,1530,6,4,0,1,6,2,8,True,Opportunity
82,Paulcool,Engineer,Standard Auto,4900,890,1050,1090,4260,250,1530,9,0,1,1530,6,4,0,1,2,8,10,False,Opportunity
83,Paulcool,Engineer,Standard Auto,4900,890,1050,1090,4260,250,0,9,0,1,1530,7,4,0,1,6,10,16,True,Opportunity
84,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,1530,9,0,1,1430,7,5,0,1,4,16,20,False,Opportunity
85,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,1530,9,0,1,1430,7,5,0,1,4,20,1,True,Doodads
86,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,2610,9,0,1,1430,7,5,0,1,5,1,6,True,Opportunity
87,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,4040,9,0,1,1430,7,5,0,1,1,6,7,False,The Market
88,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,4040,9,0,1,1430,7,5,0,1,5,7,12,False,Opportunity
89,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,4040,9,0,1,1430,7,5,0,1,5,12,17,True,Doodads
90,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,4770,9,0,1,1430,7,5,0,1,1,17,18,False,Opportunity
91,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,0,9,0,1,1430,8,5,0,1,4,18,22,True,Opportunity
92,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,1430,9,0,1,1430,8,5,0,1,5,22,4,False,Opportunity
93,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,1430,9,0,1,1430,8,5,0,1,5,4,9,True,Doodads
94,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4260,250,1360,9,0,1,1430,8,5,0,1,2,9,11,False,Baby
95,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,1360,9,0,2,1180,8,5,0,1,1,11,12,False,Opportunity
96,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,1360,9,0,2,1180,8,5,0,1,6,12,18,True,Opportunity
97,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,2540,9,0,2,1180,8,5,0,1,4,18,22,True,Opportunity
98,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,0,9,0,2,1180,9,5,0,1,3,22,2,False,Opportunity
99,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,0,9,0,2,1180,9,5,0,1,1,2,3,False,Charity
100,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,0,9,0,2,1180,9,5,0,1,5,3,8,True,Opportunity
101,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,1180,9,0,2,1180,9,5,0,1,1,8,9,False,Doodads
102,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,1030,9,0,2,1180,9,5,0,1,5,9,14,True,Opportunity
103,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,2210,9,0,2,1180,9,5,0,1,3,14,17,False,Doodads
104,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,1610,9,0,2,1180,9,5,0,1,3,17,20,False,Opportunity
105,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,1610,9,0,2,1180,9,5,0,1,6,20,3,True,Charity
106,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4510,250,2300,9,0,2,1180,9,5,0,2,6,3,9,True,Doodads
107,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4850,250,2480,10,0,2,840,9,5,0,2,7,9,16,True,Opportunity
108,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4850,250,3320,10,0,2,840,9,5,0,2,5,16,21,True,Pay Check
109,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4850,250,4160,10,0,2,840,9,5,0,1,1,21,22,False,Opportunity
110,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,4850,250,0,10,0,2,840,10,5,0,1,3,22,2,False,Opportunity
111,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,5450,250,1000,11,0,2,240,10,5,0,1,2,2,4,False,Opportunity
112,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,5450,250,1000,11,0,2,240,10,5,0,1,6,4,10,True,Opportunity
113,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,5450,250,1240,11,0,2,240,10,5,0,1,1,10,11,False,Baby
114,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,5700,250,1240,11,0,3,-10,10,5,0,1,4,11,15,True,The Market
115,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,5700,250,1230,11,0,3,-10,10,5,0,1,1,15,16,False,Opportunity
116,Paulcool,Engineer,Standard Auto,4900,790,1050,1090,5700,250,0,11,0,3,-10,11,5,0,1,<module 'die_roll' from 'C:\\Users\\PaulJ\\Data\\Computers & Internet\\Python\\CashFlow Simulation\\die_roll.py'>,20,20,False,Opportunity
E,n,d, ,o,f, ,s,i,m,u,l,a,t,i,o,n
